gu,fee,qual,jub
 jongrogu,4.35,4.65,5.16
jungu,4.21,4.4,4.63
 yongsangu,4.18,5.92,6.33
 sungdonggu,3.92,5.67,5.94
gwangjingu,4.28,5.83,5.89
dongdaemungu,4.08,5.07,4.96
 jungranggu,4.19,5.53,5.7
sungbukgu,4.23,5.31,5.14
gangbukgu,4.41,4.62,4.85
dobonggu,4.27,5.23,5.36
nowongu,4.15,5.52,5.87
enpyunggu,4.35,5.68,5.86
sudaemungu,4.09,5.29,5.95
mapogu,4.1,5.63,6.33
yangcheongu,4.21,5.67,6.53
gangsugu,4.18,4.92,5.48
gurogu,4.1,5.65,5.87
gemcheongu,4.56,5.29,4.73
yeongdengpogu,4.58,5.64,6.11
dongjakgu,3.94,4.4,5.72
gwanakgu,4.23,5,5.26
sechogu,4.23,6.65,6.82
gangnamgu,4.36,6.35,6.64
songpagu,4.33,6.21,6.18
gangdonggu,4.73,6.34,6.43
